Sample_ID,lat,lon,ele,Site,State,Region,Fine_region,Phylogroups
201-09,25.37945741,-111.310154,299.0935059,201,BAJA,NORTH,BAJA,BAJA
201-10,25.378164,-111.309366,326.728912,201,BAJA,NORTH,BAJA,BAJA
201-11,25.37784096,-111.308826,329.268341,201,BAJA,NORTH,BAJA,BAJA
201-12E,25.37984499,-111.307655,297.686646,201,BAJA,NORTH,BAJA,BAJA
201-13,25.38336698,-111.305971,302.835083,201,BAJA,NORTH,BAJA,BAJA
201-14,25.38016099,-111.311703,293.698883,201,BAJA,NORTH,BAJA,BAJA
201-15,25.37547399,-111.319615,277.362946,201,BAJA,NORTH,BAJA,BAJA
201-16,25.38179202,-111.325569,287.864716,201,BAJA,NORTH,BAJA,BAJA
201-18,25.38181499,-111.325294,286.662262,201,BAJA,NORTH,BAJA,BAJA
201-19,25.382248,-111.324793,285.994293,201,BAJA,NORTH,BAJA,BAJA
201-21,25.385211,-111.322614,306.79068,201,BAJA,NORTH,BAJA,BAJA
201-25,25.38536296,-111.322529,301.164948,201,BAJA,NORTH,BAJA,BAJA
201-27,25.38385204,-111.292296,341.972626,201,BAJA,NORTH,BAJA,BAJA
201-31,25.38214699,-111.295841,326.836792,201,BAJA,NORTH,BAJA,BAJA
204-15,24.83127097,-110.801788,384.3528,204,BAJA,NORTH,BAJA,BAJA
204-17,24.83123803,-110.802565,387.7056,204,BAJA,NORTH,BAJA,BAJA
204-24,24.83104097,-110.803119,421.576813,204,BAJA,NORTH,BAJA,BAJA
204-30,24.83133098,-110.803553,397.764,204,BAJA,NORTH,BAJA,BAJA
204-39,24.83106502,-110.80617,417.964752,204,BAJA,NORTH,BAJA,BAJA
204-40,24.83171898,-110.805877,397.496826,204,BAJA,NORTH,BAJA,BAJA
205-01,23.05124802,-110.09175,9.296711,205,BAJA,NORTH,BAJA,BAJA
205-20,23.04761798,-110.063941,25.915663,205,BAJA,NORTH,BAJA,BAJA
205-29,23.04584596,-110.060431,37.946568,205,BAJA,NORTH,BAJA,BAJA
205-36,23.04966803,-110.056447,42.976437,205,BAJA,NORTH,BAJA,BAJA
205-40,23.05177197,-110.055307,42.155937,205,BAJA,NORTH,BAJA,BAJA
205-46,23.05340099,-110.052825,34.821812,205,BAJA,NORTH,BAJA,BAJA
205-47,23.05403399,-110.052146,36.59317,205,BAJA,NORTH,BAJA,BAJA
210-02,16.39096999,-95.38333003,201.81488,210,OAX,SOUTH,SOUTH,SOUTH
210-07,16.39155496,-95.38256401,223.343857,210,OAX,SOUTH,SOUTH,SOUTH
210-22,16.39170097,-95.38386899,230.82933,Out,Out,Out,Out,Out
210-23,16.39177498,-95.38373698,233.011139,210,OAX,SOUTH,SOUTH,SOUTH
210-25,16.39197104,-95.38349801,230.833099,Out,Out,Out,Out,Out
210-43,16.392253,-95.38392196,251.205322,Out,Out,Out,Out,Out
214-02,16.633151,-96.05944301,804.797729,214,OAX,SOUTH,SOUTH,SOUTH
214-03,16.64033303,-96.06776004,735.243835,214,OAX,SOUTH,SOUTH,SOUTH
214-06,16.63109399,-96.05599503,795.39624,214,OAX,SOUTH,SOUTH,SOUTH
214-23,16.63056904,-96.05333998,821.865906,214,OAX,SOUTH,SOUTH,SOUTH
214-40,16.63122903,-96.05434799,801.925476,214,OAX,SOUTH,SOUTH,SOUTH
215-04,20.753463,-103.322306,1459.341553,215,JAL,CENTRAL,JAL,CENTRAL
215-06,20.75251602,-103.323399,1444.640625,215,JAL,CENTRAL,JAL,CENTRAL
215-07,20.75207002,-103.324712,1470.333496,215,JAL,CENTRAL,JAL,CENTRAL
215-22,20.75107098,-103.324389,1407.750977,215,JAL,CENTRAL,JAL,CENTRAL
215-23,20.75037201,-103.324233,1395.233154,215,JAL,CENTRAL,JAL,CENTRAL
215-40,20.75055499,-103.322937,1328.510742,215,JAL,CENTRAL,JAL,CENTRAL
217-08,21.19392699,-103.19107,1111.543945,217,ZAC,CENTRAL,ZAC,CENTRAL
217-11,21.19395699,-103.19068,1121.28064,217,ZAC,CENTRAL,ZAC,CENTRAL
217-14,21.19403503,-103.191315,1120.289062,217,ZAC,CENTRAL,ZAC,CENTRAL
217-15,21.19412103,-103.191347,1119.057861,217,ZAC,CENTRAL,ZAC,CENTRAL
217-16,21.19423301,-103.191426,1124.318359,217,ZAC,CENTRAL,ZAC,CENTRAL
217-21,21.19436,-103.191011,1188.613037,217,ZAC,CENTRAL,ZAC,CENTRAL
39-09,23.13886598,-109.768267,218.158401,39,BAJA,NORTH,BAJA,BAJA
39-10,23.13933201,-109.76933,239.589905,39,BAJA,NORTH,BAJA,BAJA
39-12A,23.13992897,-109.768293,266.020569,39,BAJA,NORTH,BAJA,BAJA
39-18,23.13926697,-109.770177,233.752884,39,BAJA,NORTH,BAJA,BAJA
39-27,23.13521298,-109.76965,275.011566,39,BAJA,NORTH,BAJA,BAJA
39-30,23.136151,-109.769955,250.038788,39,BAJA,NORTH,BAJA,BAJA
39-72B,23.12981998,-109.74721,NA,39,BAJA,NORTH,BAJA,BAJA
70-01A,23.73651998,-109.84383,NA,70,BAJA,NORTH,BAJA,BAJA
70-02,23.73499003,-109.84168,NA,70,BAJA,NORTH,BAJA,BAJA
70-04,23.73434999,-109.84244,NA,70,BAJA,NORTH,BAJA,BAJA
70-06,23.73536998,-109.84141,NA,70,BAJA,NORTH,BAJA,BAJA
70-09,23.73805001,-109.8164,NA,70,BAJA,NORTH,BAJA,BAJA
70-10,23.73198001,-109.84181,NA,70,BAJA,NORTH,BAJA,BAJA
70-17,23.73874001,-109.82035,NA,70,BAJA,NORTH,BAJA,BAJA
70-19,23.73841002,-109.82173,NA,70,BAJA,NORTH,BAJA,BAJA
70-20,23.73900002,-109.82207,NA,70,BAJA,NORTH,BAJA,BAJA
70-202,23.73703203,-109.857014,400.151703,70,BAJA,NORTH,BAJA,BAJA
70-206,23.737475,-109.85798,404.414795,70,BAJA,NORTH,BAJA,BAJA
70-26,23.74251002,-109.82294,NA,70,BAJA,NORTH,BAJA,BAJA
70-29N,23.74123002,-109.82873,NA,70,BAJA,NORTH,BAJA,BAJA
70-38,23.73647003,-109.8484,NA,70,BAJA,NORTH,BAJA,BAJA
70-39,23.735959,-109.84018,358.773407,70,BAJA,NORTH,BAJA,BAJA
70-61,23.73838001,-109.81617,NA,70,BAJA,NORTH,BAJA,BAJA
70-66,23.73169997,-109.84127,394.0230713,70,BAJA,NORTH,BAJA,BAJA
70-69,23.73887999,-109.81882,NA,70,BAJA,NORTH,BAJA,BAJA
70-72,23.73559998,-109.841,NA,70,BAJA,NORTH,BAJA,BAJA
70-76,23.73927,-109.82256,NA,70,BAJA,NORTH,BAJA,BAJA
70-78,23.74117001,-109.82984,NA,70,BAJA,NORTH,BAJA,BAJA
70-81,23.74091,-109.83093,NA,70,BAJA,NORTH,BAJA,BAJA
70-85,23.73427003,-109.81522,NA,70,BAJA,NORTH,BAJA,BAJA
95-06N,26.362442,-111.801078,269.4599,95,BAJA,NORTH,BAJA,BAJA
95-07W,26.37040297,-111.808506,250.619995,95,BAJA,NORTH,BAJA,BAJA
95-12B,26.36979301,-111.810459,276.518433,95,BAJA,NORTH,BAJA,BAJA
95-18,26.36840103,-111.812184,278.010193,95,BAJA,NORTH,BAJA,BAJA
95-200,26.35302301,-111.800989,315.37854,95,BAJA,NORTH,BAJA,BAJA
95-201,26.35435699,-111.797917,277.98407,95,BAJA,NORTH,BAJA,BAJA
95-202,26.35209002,-111.791727,277.348724,95,BAJA,NORTH,BAJA,BAJA
95-31,26.35787403,-111.803632,261.663269,95,BAJA,NORTH,BAJA,BAJA
95-33,26.35763699,-111.803422,259.986816,95,BAJA,NORTH,BAJA,BAJA
95-35,26.35731999,-111.803221,256.835693,95,BAJA,NORTH,BAJA,BAJA
95-39,26.35273601,-111.799428,265.123962,95,BAJA,NORTH,BAJA,BAJA
95-40,26.35310297,-111.800006,253.626038,95,BAJA,NORTH,BAJA,BAJA
95-48,26.35698698,-111.803183,257.74057,95,BAJA,NORTH,BAJA,BAJA
95-52,26.35681003,-111.803093,260.975128,95,BAJA,NORTH,BAJA,BAJA
95-53,26.35643302,-111.802659,263.606018,95,BAJA,NORTH,BAJA,BAJA
